431460789,SECURITY TRADERS ASSOCIATION OF ST LOUIS INC,% ADRIAN BROWN,12555 MANCHESTER RD,SAINT LOUIS,MO,63131-3710,0000,06,3,2000,200105,2,00,998000000,1,01,201412,4,4,01,0,12,244738,192535,90941,S41,
431460908,KNIGHTS OF COLUMBUS,% JOHN BRENEMAN,1203 AMBERGLEN DR,ST PETERS,MO,63376-4649,0188,08,9,1000,194010,1,00,036029265,5,01,201412,0,0,02,0,12,0,0,0,,9625 HARVESTER
431460909,PINE-BARDLEY VOLUNTEER FIRE DEPARTMENT,% CHRLES HUDSON,HC 7 BOX 356,DONIPHAN,MO,63935-8911,0000,03,3,1000,198908,1,15,408000000,1,01,201312,0,0,02,0,12,0,0,0,,
431460913,RESTORATION BRANCH CHARITABLE TRUST,,16109 E 30TH ST S,INDEPENDENCE,MO,64055-2703,0000,03,3,1000,198801,1,10,001007000,2,01,,0,0,06,0,07,,,,,
431460922,DONGOLA CEMETERY ASSOCIATION INC,% SCOTT MARKHAM,409 N CROY ST,ADVANCE,MO,63730-8238,0000,13,3,1000,198806,1,00,900000000,1,01,201412,0,0,02,0,12,0,0,0,,
431461048,FRATERNAL ORDER OF POLICE,,PO BOX 1134,JOPLIN,MO,64802-1134,1199,08,9,1000,195210,1,00,263000000,5,01,201412,4,4,01,0,12,238024,260661,151157,,27 SW MISSOURI REGIONAL LODGE
431461152,CARE BROADCASTING INC,% PO BOX 500 UNITED STATES,PO BOX 500,KIRKSVILLE,MO,63501-0500,0000,03,3,1000,198811,1,15,121994000,1,01,201312,0,0,02,0,12,0,0,0,,
431461229,MASONIC HIGH TWELVE NO 49 ST JOSEPH MO,% ALVIN K PATTERSON,PO BOX 8306,SAINT JOSEPH,MO,64508-8306,9422,10,9,1000,198608,2,00,280000000,1,01,201504,0,0,02,0,04,0,0,0,Y42,49 ST JOSEPH CLUB
431461234,SEYMOUR CHURCH OF NAZARENE,,PO BOX 477,SEYMOUR,MO,65746-0477,0000,03,3,1000,198905,1,10,001000000,5,01,,0,0,06,0,06,,,,,
431461251,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% MARY DEVRIESE,24887 367TH TRL,MIAMI,MO,65344-2106,0239,04,9,3000,196912,2,00,279319000,5,01,201406,0,0,02,0,06,0,0,0,,47086 MIAMI
431461253,ST JOHNS REGIONAL MEDICAL CENTER AUXILIARY,% LORINDA SOUTHARD,914 JOANNE DR,WEBB CITY,MO,64870-1779,0000,03,3,1000,199105,1,16,151000000,5,01,201406,4,4,01,0,06,128719,135379,36319,,
431461330,INTERNATIONAL ASSOCIATION OF LIONS CLUBS INC,% E ALLEN KOHLER,PO BOX 170,HUNTSVILLE,MO,65259-0170,0239,04,9,3000,196912,2,00,279319000,5,01,201406,0,0,02,0,06,0,0,0,,26-C DISTRICT LIONS INTERNATIONAL I
